PooledFundName,PooledFundId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectDuration,Budget,TotalDirectCost,TotalSupportCost,DateSubmitted,GenderMarker,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode
CAR,17,CBPF-CAR-25-R-NGO-38648,,2025 Sixth Réserve Allocation,2025,1,Reserve,Centre de Réeduction pour Handicapés Moteurs,National NGO,6 Months,301811.45,282066.78,0,1/2/2026 12:00:00 AM,"3- Likely to contribute to gender equality, but without attention to age groups",3/1/2026 12:00:00 AM,8/31/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,266833.6704
CAR,17,CBPF-CAR-25-R-NGO-38663,,2025 Fifth Réserve Allocation,2025,1,Reserve,African Relief Service,National NGO,12 Months,748582.06,699609.4,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,1/31/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,74816.7552
CAR,17,CBPF-CAR-25-R-NGO-38693,,2025 Sixth Réserve Allocation,2025,1,Reserve,Association des Humanitaires pour le Développement,National NGO,9 Months,537000.71,501869.82,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,10/31/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,75606.0624
CAR,17,CBPF-CAR-25-R-NGO-38707,,2025 Sixth Réserve Allocation,2025,1,Reserve,ASSOCIATION EPHPHATHA,National NGO,12 Months,460058.27,429961,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,1/31/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,262647.9504
CAR,17,CBPF-CAR-25-R-NGO-38714,,2025 Sixth Réserve Allocation,2025,1,Reserve,Association des Femmes pour la Promotion de l'Entreprenariat,National NGO,12 Months,850000,794392.52,0,1/18/2026 12:00:00 AM,1- Unlikely to contribute to gender equality (no gender equality measure and no age consideration),2/17/2026 12:00:00 AM,2/16/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,72472.7520
CAR,17,CBPF-CAR-25-R-NGO-38729,,2025 Sixth Réserve Allocation,2025,1,Reserve,Fracarita Centrafrique,National NGO,12 Months,599999.65,560747.34,0,12/2/2025 12:00:00 AM,,1/1/2026 12:00:00 AM,12/31/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,99285.2784
CAR,17,CBPF-CAR-25-R-NGO-38776,,2025 Sixth Réserve Allocation,2025,1,Reserve,Forces des Nations pour des Œuvres Humanitaires et Développement Durable,National NGO,12 Months,599997.57,560745.39,0,1/2/2026 12:00:00 AM,"3- Likely to contribute to gender equality, but without attention to age groups",2/1/2026 12:00:00 AM,1/31/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,262767.5424
CAR,17,CBPF-CAR-25-R-NGO-38780,,2025 Sixth Réserve Allocation,2025,1,Reserve,Association pour le Développement de l'Enfant et de la Famille,National NGO,12 Months,547121.99,511328.96,0,1/2/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/1/2026 12:00:00 AM,1/31/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,263485.0944
CAR,17,CBPF-CAR-25-R-NGO-38807,,2025 Sixth Réserve Allocation,2025,1,Reserve,Organisation pour la Promotion des Initiatives de developpement Durable,National NGO,6 Months,93753.4,87620,0,1/31/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",3/2/2026 12:00:00 AM,9/1/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,74745.0000
CAR,17,CBPF-CAR-25-R-NGO-38808,,2025 Sixth Réserve Allocation,2025,1,Reserve,Initiative Développement Centrafrique,National NGO,12 Months,779838.05,728820.61,0,12/21/2024 12:00:00 AM,,1/20/2025 12:00:00 AM,1/19/2026 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,262671.8688
CAR,17,CBPF-CAR-25-R-NGO-38848,,2025 Sixth Réserve Allocation,2025,1,Reserve,Action pour la Population et le Développement Durable,National NGO,12 Months,1000000,934579.44,0,1/17/2026 12:00:00 AM,,2/16/2026 12:00:00 AM,2/15/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,74673.2448
CAR,17,CBPF-CAR-25-R-NGO-38849,,2025 Fifth Réserve Allocation,2025,1,Reserve,Le Cri des Abandonnés de la Crise Centrafricaine,National NGO,12 Months,350000.06,327102.86,0,1/2/2026 12:00:00 AM,"3- Likely to contribute to gender equality, but without attention to age groups",2/1/2026 12:00:00 AM,1/31/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,262887.1344
CAR,17,CBPF-CAR-25-R-NGO-38854,,2025 Sixth Réserve Allocation,2025,1,Reserve,JUPEDEC (United Youth for the Protection of the Environment and Community Development),National NGO,12 Months,502362.42,469497.59,0,1/3/2026 12:00:00 AM,"4- Likely to contribute to gender equality, including across age groups",2/2/2026 12:00:00 AM,2/1/2027 12:00:00 AM,Draft examen technique,5649,PRJ_TR_DRFT,Technical Review,3,72305.3232
Colombia,52,COL-13/X/DDA-3418/ER/P/NGO/77,DMA-ERF-O467-031,,2013,1,Reserve,Benposta Nacion de Muchachos,National NGO,,117971,0,0,9/16/2013 12:00:00 AM,,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,Project Cancelled,12,,,0,7984.4960
Colombia,52,COL-15/X/DDA-3418/ER/S-NFI/NGO/586,DMA-ERF-O467-055,,2015,1,Reserve,Secretariado Nacional de Pastoral Social,National NGO,,0,0,0,4/30/2015 12:00:00 AM,,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,MoU Draft,9,,HC Final Approval,12,41718.9916
Colombia (RhPF),87,CBPF-COL-25-S-NGO-38194,,2025-SA1,2025,2,Standard,Liga Internacional de Mujeres por la Paz y la Libertad - LIMPAL COLOMBIA,National NGO,"12 Months, 2 Days",161522.49,150955.6,0,11/26/2025 10:21:28 PM,,3/1/2026 12:00:00 AM,3/2/2027 12:00:00 AM,Revisión técnica – UFH,9025,PRJ_UND_TR_HFU,Technical Review,11,6256869.0624
Colombia (RhPF),87,CBPF-COL-25-S-NGO-38205,,2025-SA1,2025,2,Standard,Fundación Tierra de Paz,National NGO,12 Months,249970.46,242078.69,0,11/27/2025 1:05:58 AM,"3- Likely to contribute to gender equality, but without attention to age groups",1/1/2026 12:00:00 AM,12/31/2026 12:00:00 AM,Revisión técnica – Borrador,9026,PRJ_TR_DRFT,Technical Review,11,6314420.1888
Colombia (RhPF),87,CBPF-COL-25-S-NGO-38234,,2025-SA1,2025,2,Standard,ASOCIACIÓN DE APOYO AL DESARROLLO - APOYAR,National NGO,12 Months,249973.4,233620,0,11/27/2025 3:13:04 AM,"4- Likely to contribute to gender equality, including across age groups",12/26/2025 12:00:00 AM,12/25/2026 12:00:00 AM,Revisión técnica – UFH,9025,PRJ_UND_TR_HFU,Technical Review,11,6231166.6176
Colombia (RhPF),87,CBPF-COL-25-S-NGO-38242,,2025-SA1,2025,2,Standard,Fundación para el desarrollo integral en género y familia GENFAMI,National NGO,12 Months,249999.21,233644.12,0,11/27/2025 3:32:17 AM,,1/1/2026 12:00:00 AM,12/31/2026 12:00:00 AM,Revisión técnica – UFH,9025,PRJ_UND_TR_HFU,Technical Review,11,6256310.3136
Colombia (RhPF),87,CBPF-COL-25-S-NGO-38261,,2025-SA1,2025,2,Standard,Benposta Nación de Muchachos - Colombia,National NGO,12 Months,250000,233644.86,0,11/27/2025 3:53:43 AM,"4- Likely to contribute to gender equality, including across age groups",1/1/2026 12:00:00 AM,12/31/2026 12:00:00 AM,Revisión técnica – UFH,9025,PRJ_UND_TR_HFU,Technical Review,11,6261339.0528
Colombia (RhPF),87,CBPF-COL-25-S-NGO-38301,,2025-SA1,2025,2,Standard,Corporación Sisma Mujer,National NGO,12 Months,249785.29,233444.2,0,11/27/2025 3:31:26 AM,,1/15/2026 12:00:00 AM,1/14/2027 12:00:00 AM,Revisión técnica – UFH,9025,PRJ_UND_TR_HFU,Technical Review,11,6245135.3376
DRC,24,CBPF-DRC-25-S-INGO-38437,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,OXFAM GB,International NGO,12 Months,500000,467289.72,0,12/16/2025 8:08:18 PM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,2/15/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,147916.8250
DRC,24,CBPF-DRC-25-S-INGO-38440,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Agency for Technical Cooperation and Development,International NGO,12 Months,1436000.01,1342056.08,0,12/16/2025 10:25:23 PM,"3- Likely to contribute to gender equality, but without attention to age groups",3/15/2026 12:00:00 AM,3/14/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,146901.8000
DRC,24,CBPF-DRC-25-S-INGO-38443,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Action Aid International RD Congo,International NGO,12 Months,750000,700934.58,0,12/16/2025 8:47:45 AM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,2/15/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,154422.2125
DRC,24,CBPF-DRC-25-S-INGO-38447,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Jesuit Refugee Service,International NGO,9 Months,650000,607476.64,0,12/16/2025 1:51:48 PM,"4- Likely to contribute to gender equality, including across age groups",2/23/2026 12:00:00 AM,11/22/2026 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,212001.8125
DRC,24,CBPF-DRC-25-S-INGO-38457,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,International Medical Corps,International NGO,9 Months,600000,560747.66,0,12/16/2025 8:18:21 PM,"4- Likely to contribute to gender equality, including across age groups",3/1/2026 12:00:00 AM,11/30/2026 12:00:00 AM,Budget approuvé,6241,PRJ_BUDGET_CLR,Technical Review,11,153591.7375
DRC,24,CBPF-DRC-25-S-INGO-38460,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Dan Church Aid,International NGO,9 Months,299992.37,280366.7,0,12/16/2025 5:27:59 PM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,11/15/2026 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,155437.2375
DRC,24,CBPF-DRC-25-S-INGO-38474,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,HELP A CHILD,International NGO,10 Months,799830.99,747505.6,0,12/16/2025 3:28:00 PM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,12/15/2026 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,217953.5500
DRC,24,CBPF-DRC-25-S-INGO-38478,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,People In Need,International NGO,12 Months,400000,373831.78,0,12/16/2025 10:43:26 PM,"4- Likely to contribute to gender equality, including across age groups",3/1/2026 12:00:00 AM,2/28/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,149531.6375
DRC,24,CBPF-DRC-25-S-INGO-38503,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,World Vision International,International NGO,12 Months,1500000,1401869.16,0,12/16/2025 10:02:01 PM,"4- Likely to contribute to gender equality, including across age groups",2/23/2026 12:00:00 AM,2/22/2027 12:00:00 AM,Draft examen technique ,6233,PRJ_TR_DRFT,Technical Review,11,146486.5625
DRC,24,CBPF-DRC-25-S-INGO-38520,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Christian Aid,International NGO,10 Months,944000,882242.99,0,12/16/2025 4:45:05 PM,"4- Likely to contribute to gender equality, including across age groups",3/1/2026 12:00:00 AM,12/31/2026 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,150731.2125
DRC,24,CBPF-DRC-25-S-INGO-38551,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Alliance for International Medical Action,International NGO,12 Months 2 Days,950000,887850.47,0,12/16/2025 2:44:01 PM,"4- Likely to contribute to gender equality, including across age groups",3/1/2026 12:00:00 AM,3/2/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,146624.9750
DRC,24,CBPF-DRC-25-S-INGO-38565,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Medair,International NGO,12 Months,450000,420560.75,0,12/16/2025 6:40:17 PM,"4- Likely to contribute to gender equality, including across age groups",3/1/2026 12:00:00 AM,2/28/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,153960.8375
DRC,24,CBPF-DRC-25-S-INGO-38586,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,TEARFUND,International NGO,12 Months,800000,747663.55,0,12/16/2025 2:06:48 PM,"4- Likely to contribute to gender equality, including across age groups",3/1/2026 12:00:00 AM,2/28/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,147593.8625
DRC,24,CBPF-DRC-25-S-NGO-38444,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,JEUNESSE POUR LA SOLIDARITE ET LE DEVELOPPEMENT DANS LES PAYS DES GRANDS LACS,National NGO,9 Months,450000,420560.75,0,12/16/2025 12:45:00 PM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,11/15/2026 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,218322.6500
DRC,24,CBPF-DRC-25-S-NGO-38455,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,DIASPORA MEDICALE PLUS-RDC,National NGO,12 Months,450000,420560.75,0,12/15/2025 4:40:58 PM,"4- Likely to contribute to gender equality, including across age groups",3/1/2026 12:00:00 AM,2/28/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,214308.6875
DRC,24,CBPF-DRC-25-S-NGO-38459,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Groupe d'Accompagnement des Malades,National NGO,9 Months,300000,280373.83,0,12/16/2025 4:21:36 PM,"4- Likely to contribute to gender equality, including across age groups",2/25/2026 12:00:00 AM,11/24/2026 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,213432.0750
DRC,24,CBPF-DRC-25-S-NGO-38476,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Action of the Future,National NGO,11 Months,600000,560747.66,0,12/16/2025 1:11:12 PM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,1/15/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,159082.1000
DRC,24,CBPF-DRC-25-S-NGO-38477,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Rebuild Hope for Africa,National NGO,12 Months,950000.04,887850.5,0,12/16/2025 8:44:16 PM,"4- Likely to contribute to gender equality, including across age groups",2/24/2026 12:00:00 AM,2/23/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,149439.3625
DRC,24,CBPF-DRC-25-S-NGO-38487,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Programme de Promotion des Soins de santé primaires,National NGO,12 Months,700000,654205.61,0,12/16/2025 11:13:13 AM,1- Unlikely to contribute to gender equality (no gender equality measure and no age consideration),3/1/2026 12:00:00 AM,2/28/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,149900.7375
DRC,24,CBPF-DRC-25-S-NGO-38488,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,SANTE-PLUS,National NGO,12 Months,449999.2,420560,0,12/16/2025 4:05:26 PM,"3- Likely to contribute to gender equality, but without attention to age groups",3/1/2026 12:00:00 AM,2/28/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,212186.3625
DRC,24,CBPF-DRC-25-S-NGO-38502,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,RESEAU DES MEDIAS POUR LE DEVELOPPEMENT,National NGO,12 Months,450000,420560.75,0,12/16/2025 9:38:29 PM,"4- Likely to contribute to gender equality, including across age groups",3/16/2026 12:00:00 AM,3/15/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,214770.0625
DRC,24,CBPF-DRC-25-S-NGO-38523,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Réseau des associations congolaises des jeunes du Nord-Kivu,National NGO,12 Months,800000,747663.55,0,12/16/2025 1:36:41 PM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,2/15/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,158482.3125
DRC,24,CBPF-DRC-25-S-NGO-38527,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,LA FLORAISON,National NGO,12 Months,700000,654205.61,0,12/16/2025 7:07:38 PM,"4- Likely to contribute to gender equality, including across age groups",3/1/2026 12:00:00 AM,2/28/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,219106.9875
DRC,24,CBPF-DRC-25-S-NGO-38529,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Association de Lutte contre la Pauvreté la Foi et les Oeuvres,National NGO,12 Months,700000,654205.61,0,12/16/2025 4:02:42 PM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,2/15/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,159358.9250
DRC,24,CBPF-DRC-25-S-NGO-38538,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Popoli Fratelli - RDC,National NGO,12 Months,920000,859813.08,0,12/16/2025 7:05:22 PM,"4- Likely to contribute to gender equality, including across age groups",2/16/2026 12:00:00 AM,2/15/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,159266.6500
DRC,24,CBPF-DRC-25-S-NGO-38541,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,Umoja in Action,National NGO,12 Months,900000.01,841121.5,0,12/16/2025 11:47:58 AM,"4- Likely to contribute to gender equality, including across age groups",3/1/2026 12:00:00 AM,2/28/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,157098.1875
DRC,24,CBPF-DRC-25-S-NGO-38548,,AS 1- Décembre 2025 - Assistance Humanitaire aux personnes en besoin urgent d’assistance humanitaire,2025,2,Standard,FEMME CONGOLAISE POUR LE DEVELOPPEMENT,National NGO,11 Months,400000,373831.78,0,12/16/2025 7:55:24 PM,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),3/2/2026 12:00:00 AM,2/1/2027 12:00:00 AM,Approbation de la convention de subvention par HC,6242,PRJ_HC_APPROVAL,HC Final Approval,12,216523.2875
